carregamentos,materiais,capital,estoques,supervisores,trabalhadores
3983500,1232600,91300,312400,9800,27300
1378500,300400,46100,124900,4400,23500
1546800,291400,57600,70200,4200,17700
3447300,766100,170100,141200,12400,23800
2171100,1121800,126500,187200,2000,4200
3415700,1013200,174500,83700,3800,4200
3320900,1437000,156900,513000,2900,5700
16032200,6267200,844700,1533100,31900,32700
36964600,21937800,2554900,3909200,28600,40600
4983600,2759800,230000,620500,4200,7700
1153500,426900,137500,129500,1200,5000
12212600,5778900,563900,1285800,9100,31600
6189300,2953000,504700,1003400,6100,7800
56960500,14497300,2713700,6933200,65600,68600
7777700,1951900,561100,1144000,22800,15600
5310200,1570300,360600,1080100,9900,9900
14527700,7077000,454400,1137000,12800,18500
8371700,2912200,123500,602000,8300,12900
3678300,2080600,204500,390900,4100,3900
19736000,6482100,490600,2212100,22300,35300
17544400,9125400,279500,1966900,23100,27000
774100,367200,42100,149300,600,2200
11151500,6954100,564600,1405600,9600,13100
57670500,33449200,2958900,5897000,36700,52600
4246100,2251200,174600,388400,2600,5400
4596500,3006800,159300,424100,2300,6200
2420700,1592300,38100,265900,2700,5100
9636100,3695200,299300,1043500,6500,8800
5848900,3338500,204200,569800,7900,11300
1023400,421000,52600,137200,2700,6400
3366000,2110000,55400,418500,5400,7800
804700,311200,45700,60500,700,1200
11370400,5683200,378700,1289500,16400,20100
128000000,106000000,5215200,9517800,25400,46300
4617600,2852400,199900,251100,4000,10400
4050800,2570300,96600,304800,3300,9300
5381600,3639500,86300,565800,5600,6000
864200,494900,26000,110600,700,1300
12882800,5596700,514600,907400,11000,52700
961200,498000,12600,173500,2200,9200
3070000,1555900,127200,453300,4500,17500
4151900,1627400,151700,492700,10100,25000
5219900,2271500,160300,461900,10800,43700
7729000,3622000,226600,880600,14600,43200
12562300,6520200,465400,1415900,14600,41700
3842700,1898000,173700,425100,6300,20600
2405700,1147400,64200,311800,4000,12000
3600700,2328800,118700,539600,3200,11200
5654600,3013300,510100,576500,5200,29500
11065200,6091100,485400,966800,13900,54300
5731100,3450200,164500,602300,8300,18200
1379400,596100,56800,110100,3600,10400
54296500,25375800,2542400,5833300,97900,372800
3037800,2076500,45500,412800,2500,13400
318700,179600,400,37900,500,2900
203500,79300,4800,42000,800,2400
2461000,1177500,43300,506100,3500,20500
949900,403400,7600,108800,1600,12800
308900,147800,3100,55700,600,4600
142500,86200,12200,77700,300,2400
991400,450300,9500,170800,1900,6600
303900,145900,3100,17900,500,2800
392900,136500,1900,56900,1400,3800
434100,158600,3700,50900,600,6000
2599600,913300,137100,231700,2000,9200
4681300,1778000,238200,774300,3800,25000
4946500,1648600,345200,678300,5600,28600
7934500,3719200,268300,806800,11800,46400
4808200,2000300,279600,712800,4300,12400
1319100,463400,63800,240200,3300,11000
847300,294000,73100,193100,1500,7100
938800,494000,16500,165900,1500,4400
142100,57000,4000,37800,300,1400
1020000,284300,25300,99700,1300,7900
361700,81000,5100,96500,1000,4200
57000,23000,5200,4600,100,1200
1141800,381200,62100,156900,2900,8200
720000,197900,22400,114700,2700,10900
2350200,1225000,74900,320900,7600,10000
6784300,3007700,196400,742800,17800,44900
13830900,7655700,458900,437100,19600,67600
1037800,529900,21600,120700,1200,4500
2849400,1667900,74200,158900,2100,8600
1111900,441100,36900,156700,2900,10000
4124000,1732100,128600,636800,6800,15900
1830100,757200,86500,233300,2400,7000
3725100,1505800,122200,256000,3600,16200
1232200,562500,41100,201400,2300,5200
833000,307900,39400,117100,2300,6000
50633800,30232800,2614800,7703500,34400,121700
1197800,803800,25300,273500,1300,3300
5064000,2733100,170100,701600,5800,19500
6538400,4509800,198100,1158000,4000,11100
6294600,4257100,148300,1073200,5500,19100
9685500,4245000,425200,829100,13600,66000
292100,112400,4800,21000,400,2400
1530400,430900,56400,168000,3400,13000
2523800,1026200,60800,305500,4900,19300
6185100,4719400,702700,573600,1400,5000
5576600,3797600,120700,613200,4600,13900
2784200,1913900,107000,350000,2700,6600
7151800,5249900,103200,799700,3800,10600
7266800,5009400,192200,968600,4500,16500
10577200,8212300,272900,1757200,5500,16700
5130500,3137200,146700,590800,5800,23400
590700,417500,6400,57700,200,800
2941900,1522900,62500,906100,5200,10300
15346600,9553600,482900,2093900,16100,48200
3753500,1736800,210400,314200,5200,25800
1121400,528500,45400,124300,1600,9500
2600300,1094200,146100,213100,4700,22300
744600,311800,3100,79800,1600,6500
451800,141700,13600,74000,1400,3100
2404800,833800,117200,290400,4500,12700
2382700,1137800,92800,427200,5400,9000
11610100,8305700,411100,1242900,4500,26400
1415200,897200,33700,176400,1800,5900
1853900,522600,52900,255600,3200,8000
4879100,1978500,131700,877000,9400,31600
1026000,419900,38100,172000,2200,5600
10517700,4947500,313400,1312700,18900,60200
866800,317900,18800,135400,1500,5400
3202400,1379000,66000,553800,4700,12700
9831700,5606700,148700,1153800,19800,51500
7868900,4336900,115100,967800,19200,48900
10079400,4816300,283100,1435400,22600,57800
13163200,6549900,279200,1934100,28100,79900
2553900,1159700,36700,322900,7300,18100
3856500,2193500,50500,321000,8200,17100
4098600,2731100,39500,571400,6800,15700
4669100,1716600,225300,563500,9900,41900
5793700,2546200,157300,1020000,11500,31900
3608400,1816200,88900,582200,5100,18800
1290100,706400,33800,222700,1700,5200
19652800,10641500,1201100,1266800,18600,95400
834600,449000,20000,140800,800,3600
11361500,5423900,408300,1397000,20800,76900
5232500,1598100,170100,337200,16100,54500
7081800,3779200,223000,731700,10800,37800
963400,338100,35400,186100,1700,5500
2008200,621600,17500,359200,5200,7800
1384100,383300,33500,303200,2700,9100
1199700,204900,9300,90600,7500,5300
7653400,3082700,219100,1690700,16900,34000
4337500,1965400,121800,995700,9400,20700
600500,305500,30200,87600,1000,3100
2149600,1041300,49600,416900,4100,12500
2129300,984900,85300,187300,3700,15700
4063600,1960000,100700,578200,9500,31600
3336100,2034900,85200,502100,3100,9300
3142900,1591700,91100,528500,7500,19700
8119400,3772000,325000,1099700,20100,56500
6801600,3049800,246500,2015300,12000,15100
14952600,8888500,400400,1683000,14300,39900
13217700,6542400,259700,1999400,19000,48100
6819200,4194000,125300,1099000,5400,22400
17697100,10153100,359400,3292500,25000,52900
1695000,925800,29500,482800,4700,8100
3752700,1610700,77600,1157900,10700,14700
1053400,625400,17400,148500,3100,4900
4696700,2454000,89400,603600,14000,19100
1069400,500700,10000,251400,3400,4500
4024800,2671700,71400,659600,6400,13400
3658100,1781600,105900,1165300,10300,13700
1694300,769800,25400,476200,4800,8300
597500,132400,26800,69000,1700,5900
11195000,3296900,541200,1557500,27100,92400
4665000,1425600,188100,864600,13900,32700
3495200,1734800,103900,412200,4700,10900
521300,241900,9900,129800,1700,2100
3074600,1433200,73000,583500,6500,12000
2411900,1147900,48500,578900,5300,9800
1908300,818500,71400,448300,6100,10600
1184300,522400,30700,208600,3200,5400
2812500,1413000,49300,544300,7700,9700
3015400,1471300,70700,776100,9800,11300
2673500,1126600,48500,528400,7800,12000
15191700,6805800,637700,3234700,38600,49100
5851000,2692200,188600,1212700,14700,21100
4890500,1974300,172800,884900,6200,27200
5019200,2593200,129400,1087200,9700,16300
3459500,1569100,54700,426900,9000,18800
3620900,1563200,98600,867500,9900,14900
2054000,710000,72800,422900,4700,10900
2163400,903900,40800,341200,7100,10800
2796300,1162400,72300,622100,7200,15500
6181400,2718400,198400,1121500,17700,25100
48546900,27046100,932700,6085500,79000,30400
11004500,6759400,521900,1352700,20100,19700
1427500,894700,41700,253200,3900,2700
13665900,8293200,410800,1935200,34500,23100
1346800,592800,34800,181100,3700,2900
3581500,1565900,117600,829200,21000,9000
942000,503300,21300,168900,1800,5100
614100,329300,8800,97100,1400,3400
24397000,13359600,779000,2821500,31500,99100
1295000,679700,27500,195500,1800,4800
6289200,3085100,130000,1059800,15300,25600
2657100,1129700,134700,239800,3200,14800
2458800,1022000,90900,493200,6900,13100
1622100,714400,69600,256300,3300,8000
704800,360500,20500,134000,2500,3100
23955300,7761100,1120900,3286500,67600,221200
4672700,2311900,165500,625600,9000,21700
6140200,2552400,145700,770700,12300,27200
9429300,4705500,290500,1297400,15900,58100
1527000,699600,50400,345800,2700,7300
9473400,3955300,260500,1463400,27200,37600
2353900,1117000,68500,388500,5000,11400
3813900,1922100,101600,535500,3600,15000
5149100,3329700,170500,644300,4400,23900
4612100,2327200,79600,341600,3300,12900
3052600,1830500,66400,494700,2800,20100
1932800,914700,58900,258100,3500,7500
4233300,2320500,39600,255900,2200,11100
2915000,1006000,110100,253800,2500,13500
4874700,1965800,145700,760200,12700,30600
3732200,1558200,93600,575600,6000,18400
1792800,862200,20000,387900,3500,13100
3469900,1799600,50400,447800,7000,15800
2747100,1376100,91500,275300,3800,12200
2672700,1235800,52900,383700,5400,9500
10285600,7617400,225800,956400,7200,23300
2342500,829000,164400,148300,3700,13300
23471800,9638600,781300,3517200,44900,41200
20877200,8892400,799500,4107500,65700,54500
3703400,1492800,99600,567500,11600,12300
3148100,1798600,132300,456000,4600,15800
8262400,3376900,365900,907300,22600,53100
42252100,10388900,5697800,3811600,84500,89100
1871900,879800,78500,299900,4600,14200
806000,258700,53000,148800,2800,6900
1380300,538500,31800,185900,4300,16500
4304300,1686200,200400,674100,9100,21700
31609500,16872500,990600,4691800,77600,118900
3877200,1891200,158500,530500,3800,16500
1925900,1041300,80600,110500,1300,6400
8683200,4383500,209200,914000,11000,42800
5256300,2637500,325700,468600,8200,15500
5148100,2278500,126800,1097700,20300,20300
198000000,145000000,4245700,4507700,31500,202500
6674500,3735600,171600,869800,9200,27300
101000000,57871900,4211900,8707300,90000,364100
5273700,3821600,116100,629900,5500,26600
3954900,2893300,40500,546600,3100,15900
50944000,25778300,872200,28488600,125100,92800
16663700,8455300,437700,3390700,40500,46400
16679400,5016200,655700,5053400,54100,65400
9864000,4103700,140700,1259900,25900,75600
5425100,3144000,99200,719600,9200,38900
6569300,4074400,112400,1157600,8200,22000
2632100,1488600,92300,347700,4000,11700
15396900,6277000,329000,4137600,51800,25000
3373600,1148000,68900,307400,15000,7800
1944400,813500,38300,358800,5600,5500
2714400,1814800,21100,235800,4000,14900
1768800,730000,16600,302600,4000,4900
3947200,2610600,97500,470300,5100,14800
