data,boi,soja_br,soja_us,petr4
nov/18,196.4,84.16,22.23,9.32
dez/18,201.42,81.1,20.89,8.34
jan/19,203.4,76.89,20.58,9.73
fev/19,199.85,77.73,20.89,10.29
mar/19,201.66,78.27,20.37,10.67
abr/19,206.19,76.56,19.66,10.31
mai/19,199.94,78.36,19.61,9.72
jun/19,196.26,81.9,21.21,10.47
jul/19,200.21,78.82,20.86,9.96
ago/19,201.65,85.08,21.14,9.74
set/19,206.85,86.5,20.98,10.61
out/19,213.23,88.25,21.61,11.7
nov/19,261.32,89.87,21.62,11.22
dez/19,272.04,88.15,21.45,11.7
jan/20,247.29,87.39,21.07,11.18
fev/20,251.99,87.61,20.16,9.96
mar/20,255.76,94.97,19.41,5.5
abr/20,255.34,102.3,19.2,7.09
mai/20,258.08,110.41,19.58,7.99
jun/20,268.39,109.76,21.11,8.47
jul/20,281.84,116.05,21.99,8.72
ago/20,289.86,128.59,23.55,8.6
set/20,312.54,141.2,26.13,7.71
out/20,329.92,159.64,28.36,7.44
nov/20,352.35,164.99,30.44,9.78
dez/20,323.91,152.56,29.68,11.14
jan/21,350.81,167.87,31.33,10.49
fev/21,363.27,166.38,30.69,8.74
mar/21,369.26,171.87,30.46,9.47
abr/21,375.85,177.1,31.84,9.28
mai/21,365.69,176.39,33.33,10.91
jun/21,371.48,162.08,32.25,11.95
jul/21,369.3,167.6,32.47,10.93
ago/21,362.06,171.06,32.58,11.04
set/21,342.91,172.73,32.64,11.72
out/21,302.52,171.17,30.93,11.68
nov/21,331.27,165.79,29.82,12.67
dez/21,354.55,170.25,30.09,12.26
jan/22,371.46,179.67,32.53,15.64
fev/22,369.77,195.02,37.58,16.44
mar/22,368.28,199.6,40.2,16.17
abr/22,354.28,186.36,39.2,14.64
mai/22,340.11,193.38,39.11,15.9
jun/22,332.63,194.97,38.61,16.46
jul/22,341.43,190.74,35.55,20.13
ago/22,330.86,187.18,36.38,19.58
set/22,321.28,187.26,35.8,21.52
out/22,312.81,183.73,35.0,21.53
nov/22,297.57,186.13,35.25,19.25
dez/22,304.65,182.05,34.66,18.93
jan/23,296.9,177.03,34.08,20.14
fev/23,298.49,172.61,33.33,19.5
mar/23,288.48,162.12,31.15,18.12
abr/23,291.05,145.24,28.95,18.31
mai/23,267.7,138.11,27.73,22.73
jun/23,252.7,136.45,28.17,25.7
jul/23,254.97,146.84,30.6,28.85
ago/23,223.57,148.55,30.29,29.62
set/23,215.38,147.19,29.77,33.35
out/23,240.75,144.09,28.45,33.45
nov/23,237.51,144.04,29.41,34.57
dez/23,250.05,145.97,29.79,37.24
jan/24,249.65,126.93,25.83,40.76
fev/24,239.67,117.64,23.71,40.14
