ano,mes,y,x
1980,jan,6.080227851867676,7.263448238372803
1980,fev,-0.9241859912872314,6.339896202087402
1980,mar,-3.286174058914185,-9.28521728515625
1980,abr,5.211977005004883,0.7932909727096558
1980,mai,-16.164209365844727,-2.902420997619629
1980,jun,-1.054703950881958,8.613150596618652
1980,jul,11.172380447387695,3.982063055038452
1980,ago,-11.06328010559082,-1.1501710414886477
1980,set,-16.777000427246094,3.486125946044922
1980,out,-7.021833896636963,4.329850196838379
1980,nov,-9.716846466064451,0.9368749856948853
1980,dez,5.215705871582031,-5.202455997467041
1981,jan,-6.612000942230225,-2.082756996154785
1981,fev,4.264498233795166,2.728523015975952
1981,mar,4.91671085357666,0.6533970236778259
1981,abr,22.20495986938477,6.436071872711182
1981,mai,-11.29868984222412,-4.259198188781738
1981,jun,-5.7705078125,0.543910026550293
1981,jul,-5.217764854431152,-0.486845999956131
1981,ago,16.196199417114258,2.844000101089477
1981,set,-17.169950485229492,-16.457210540771484
1981,out,1.105334997177124,4.468937873840332
1981,nov,11.68533992767334,5.885519981384277
1981,dez,-2.3014519214630127,-0.3906979858875274
1982,jan,8.643728256225586,2.499567985534668
1982,fev,-11.129079818725586,-4.033607006072998
1982,mar,1.72462797164917,3.0425260066986084
1982,abr,0.1578799933195114,0.734565019607544
1982,mai,-1.875203013420105,2.7797319889068604
1982,jun,-10.6248197555542,-5.900115966796875
1982,jul,-5.761136054992676,3.0053439140319824
1982,ago,5.48143196105957,3.954991102218628
1982,set,-17.022069931030273,2.5471270084381104
1982,out,7.625421047210693,4.329008102416992
1982,nov,-6.575722217559815,0.1919409930706024
1982,dez,-2.3728299140930176,-0.921675980091095
1983,jan,17.52375030517578,3.3946828842163086
1983,fev,1.3546559810638428,0.7587140202522278
1983,mar,16.26861000061035,1.8620740175247192
1983,abr,-6.074546813964844,6.797750949859619
1983,mai,-0.8266509771347046,-1.699254035949707
1983,jun,3.807882070541382,4.092591762542725
1983,jul,0.5757009983062744,-2.9262990951538086
1983,ago,3.7555630207061768,1.7734240293502808
1983,set,-5.365927219390869,-2.800816059112549
1983,out,-3.750303030014038,-1.5053950548171997
1983,nov,4.898752212524414,4.186963081359863
1983,dez,4.379255771636963,1.2014169692993164
1984,jan,16.56015968322754,6.769320964813232
1984,fev,1.5231269598007202,-1.6860270500183103
1984,mar,1.0206079483032229,5.245806217193604
1984,abr,-3.8993079662323,1.728710055351257
1984,mai,-14.32501983642578,-7.279076099395752
1984,jun,3.056627035140991,-0.7794709801673889
1984,jul,-0.021536000072956,-2.4396350383758545
1984,ago,3.355102062225342,8.445978164672852
1984,set,0.1000069975852966,1.22107994556427
1984,out,1.691249966621399,2.733386993408203
1984,nov,8.200753211975098,5.127532958984375
1984,dez,3.5278658866882324,3.19155502319336
1985,jan,4.554587841033936,3.907839059829712
1985,fev,5.365478992462158,-1.7085679769515991
1985,mar,4.525230884552002,0.4352189898490906
1985,abr,2.944653987884521,0.9580680131912231
1985,mai,-0.2685999870300293,1.0954769849777222
1985,jun,-3.661041021347046,-6.81610918045044
1985,jul,-4.5405049324035645,2.785053968429565
1985,ago,9.195292472839355,3.9002089500427246
1985,set,-1.8948169946670528,-4.203003883361816
1985,out,12.006609916687012,5.601798057556152
1985,nov,1.2339869737625122,1.5700939893722534
1985,dez,-1.446329951286316,-1.084426999092102
1986,jan,6.023619174957275,0.7786700129508972
1986,fev,10.512359619140623,6.470651149749756
1986,mar,13.400710105895996,8.953781127929688
1986,abr,-7.796263217926025,-2.3877620697021484
1986,mai,0.2115399986505508,-2.8738389015197754
1986,jun,6.471110820770264,3.440268993377685
1986,jul,-9.0374755859375,-5.891053199768066
1986,ago,-5.478381156921387,6.375582218170166
